"url","title","snippet","relevance_score","tags"
"https://example.com","Example Domain","Example Domain Example Domain This domain is for use in documentation examples without needing permission. Avoid use in operations. Learn more",0.0,""
"https://iana.org/domains/example","Example Domains","Example Domains Domains Protocols Numbers About Instructions and Guides Example Domains As described in RFC 2606 and RFC 6761 , a number of domains su...",0.0,"webdev"
"https://iana.org/","Internet Assigned Numbers Authority","Internet Assigned Numbers Authority Internet Assigned Numbers Authority The global coordination of the DNS Root, IP addressing, and other Internet pro...",0.0,""
"https://iana.org/domains","Domain Name Services","Domain Name Services Domains Protocols Numbers About Domain Name Services We operate and maintain a number of key aspects of the DNS, including the ro...",0.0,""
"https://iana.org/protocols","Protocol Registries","Protocol Registries Domains Protocols Numbers About Protocol Registries Protocol parameter registries represent the authoritative record of many of th...",0.0,"webdev"
"https://iana.org/numbers","Number Resources","Number Resources Domains Protocols Numbers About Number Resources We are responsible for global coordination of the Internet Protocol addressing syste...",0.0,""
"https://iana.org/about","About us","About us Domains Protocols Numbers About About IANA For the Internet to work as a single seamless network, technical identifiers must mean the same th...",0.0,""
"https://iana.org/help","Instructions and Guides","Instructions and Guides Domains Protocols Numbers About Instructions and Guides Root Zone Management Root Zone Change Request Process Technical Requir...",0.0,""
"https://iana.org/domains/reserved","IANA-managed Reserved Domains","IANA-managed Reserved Domains Domains Protocols Numbers About IANA-managed Reserved Domains Certain domains are set aside, and nominally registered to...",0.0,""
"https://iana.org/domains/root","Root Zone Management","Root Zone Management Domains Protocols Numbers About Root Zone Management The Domain Name System (DNS) root zone is the highest-level of the naming hi...",0.0,""
"https://iana.org/domains/int","Intergovernmental Treaty (.INT) Domains","Intergovernmental Treaty (.INT) Domains Domains Protocols Numbers About .INT Zone Management The .int domain is a specialized domain offering no-cost ...",0.0,""
"https://iana.org/domains/arpa",".ARPA Domain",".ARPA Domain Domains Protocols Numbers About .ARPA Zone Management The .arpa domain is the “Address and Routing Parameter Area” domain and is designat...",0.0,""
"https://iana.org/domains/idn-tables","Repository of IDN Practices","Repository of IDN Practices Domains Protocols Numbers About Repository of IDN Practices We maintain a collection of “IDN tables”, which represent perm...",0.0,""
"https://iana.org/numbers/registries","Number-related Registries","Number-related Registries Domains Protocols Numbers About Number-related Registries These are the registries we maintain for the three core number res...",0.0,""
"https://iana.org/numbers/allocations","RIR Allocation Data","RIR Allocation Data Domains Protocols Numbers About Number Resource Allocation Data Our primary role in managing Internet number resources is to provi...",0.0,""
"https://iana.org/help/abuse","Network Abuse Information","Network Abuse Information Domains Protocols Numbers About Instructions and Guides Does it look like we're attacking you? Some of the most common thing...",0.0,""
"https://iana.org/time-zones","Time Zones","Time Zones Domains Protocols Numbers About Time Zones The Time Zone Database (often called tz or zoneinfo ) contains code and data that represent the ...",0.0,""
"https://iana.org/news","News","News Domains Protocols Numbers About News 2026-07-27 Updated Root KSK Rollover Guide Released Updated guidance on what to expect during a Root Zone KS...",0.0,"webdev"
"https://iana.org/performance","Performance","Performance Domains Protocols Numbers About Performance At a glance Naming 99.5% SLAs met, April to June 2026 July 2025: 98% August 2025: 100% Septemb...",0.0,""
"https://iana.org/about/organization","The Organization","The Organization Domains Protocols Numbers About The Organization These pages describe how the organization behind the IANA functions is constituted a...",0.0,""
"https://iana.org/archive","Archive","Archive Domains Protocols Numbers About Archive These are archived documents from prior services, projects or oversight mechanism that are no longer a...",0.0,""
"https://iana.org/contact","Contact Us","Contact Us Domains Protocols Numbers About Contact Us If you have questions regarding abuse, please see our Abuse Issues and IP Addresses Page . Gener...",0.0,""
"https://pti.icann.org","Public Technical Identifiers (PTI)","Public Technical Identifiers (PTI)",0.0,""
"https://www.icann.org/privacy/policy","ITI Web ICANN","Privacy Policy العربية 中文 English Français Pусский Español Logo en Search Search Search Filtered Search Log In Sign Up Are you sure you want to sign o...",0.0,"webdev"
"https://www.icann.org/privacy/tos","ITI Web ICANN","Terms of Service العربية 中文 English Français Pусский Español Logo en Search Search Search Filtered Search Log In Sign Up Are you sure you want to sign...",0.0,"webdev"
"https://www.icann.org/","Internet Corporation for Assigned Names and Numbers (ICANN)","Internet Corporation for Assigned Names and Numbers (ICANN) العربية 中文 English Français Pусский Español Logo en Search Search Search Filtered Search L...",0.0,"webdev"
"file:///Users/av4nda/Research/autonomous-project/docs/API.md","API.md","# API Reference

## CLI Commands

### `personal-index`
",0.0,""
"file:///Users/av4nda/Research/autonomous-project/docs/API_OLD.md","API_OLD.md","# API Reference

| Module | Export | Description |
|--------|--------|-------------|
| analytics | `SearchEvent` | A search event record. |
| analytic...",0.0,""
"file:///Users/av4nda/Research/autonomous-project/docs/ARCHITECTURE.md","ARCHITECTURE.md","# Architecture

## System Overview

personal-index is a personal web search engine that scans, filters, and indexes the web based on user-defined inte...",0.0,""
"file:///Users/av4nda/Research/autonomous-project/docs/CHANGELOG.md","CHANGELOG.md","# Changelog

ecbc246 docs: add missing docs for API.md
35b68f4 docs: complete audit and link documentation
924e3fb feat: add content summarizer, dedup...",0.0,""
"file:///Users/av4nda/Research/autonomous-project/docs/MODULES.md","MODULES.md","# Module Documentation

## Core Modules

### `personal_index.models`

Core data models for the application.

**Key Classes:**
- `Interest` - User-defi...",0.0,""
"file:///Users/av4nda/Research/autonomous-project/docs/README.md","README.md","# Personal Index Documentation

## Overview

Personal Index is a personal web search engine that scans, filters, and indexes the web based on your int...",0.0,""
"file:///Users/av4nda/Research/autonomous-project/docs/getting-started.md","getting-started.md","# Getting Started

## Installation
",0.0,""
"file:///Users/av4nda/Research/autonomous-project/docs/index.html","index.html","<!DOCTYPE html>
<html lang=""en"">
<head>
<meta charset=""UTF-8"">
<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
<title>personal-...",0.0,""
"https://another-site.com/travel-agent-business-cards","Travel Agent Business Cards: Unlock Success with Memorable Designs and Smart Strategies - Another SITE","Travel Agent Business Cards: Unlock Success with Memorable Designs and Smart Strategies - Another SITE Skip to content Home Finance Lifestyle Travel A...",0.0,"webdev"
"https://another-site.com/software-codes-tgd170-fdm-97-boost-development-speed-by-30-today","Software Codes TGD170.FDM.97: Boost Development Speed by 30% Today - Another SITE","Software Codes TGD170.FDM.97: Boost Development Speed by 30% Today - Another SITE Skip to content Home Finance Lifestyle Travel About Contact Main Men...",0.0,"Python; webdev; python"
"https://another-site.com/bank-of-america-auto-finance","Bank of America Auto Finance: Unlock Low Rates and Great Options for Your Next Vehicle - Another SITE","Bank of America Auto Finance: Unlock Low Rates and Great Options for Your Next Vehicle - Another SITE Skip to content Home Finance Lifestyle Travel Ab...",0.0,"webdev"
"https://another-site.com/churning-finance","Churning Finance: Unleash Profits with Smart Trading Strategies - Another SITE","Churning Finance: Unleash Profits with Smart Trading Strategies - Another SITE Skip to content Home Finance Lifestyle Travel About Contact Main Menu H...",0.0,"webdev"
"https://another-site.com/last-minute-travel-insurance-online","Last Minute Travel Insurance Online: Secure Your Trip and Travel Worry-Free - Another SITE","Last Minute Travel Insurance Online: Secure Your Trip and Travel Worry-Free - Another SITE Skip to content Home Finance Lifestyle Travel About Contact...",0.0,"webdev"
"https://another-site.com/lifestyle-apps","Lifestyle Apps: Transform Your Daily Routine with These Must-Have Tools - Another SITE","Lifestyle Apps: Transform Your Daily Routine with These Must-Have Tools - Another SITE Skip to content Home Finance Lifestyle Travel About Contact Mai...",0.0,"AI"
"http://nettikasinot.tv","Suosituimmat nettikasinot - Talleta ja pelaa!","Suosituimmat nettikasinot - Talleta ja pelaa! Siirry sisältöön Valikko Valikko Kasinobonukset Suosituimmat Nettikasinot Nettikasinot.tv esittelee pela...",0.0,"webdev"
"http://livecasinosgreek.com","Online Casino Live Ελλάδα - Ζωντανό Καζίνο με Ζωντανούς Ντίλερ 2026","Online Casino Live Ελλάδα - Ζωντανό Καζίνο με Ζωντανούς Ντίλερ 2026 Καζίνο Καζίνο κρυπτονομισμάτων Ευρωπαϊκά καζίνο Καζίνο με γρήγορες πληρωμές Καζίνο...",0.0,"webdev"
"http://upgaming.com/","Enterprise iGaming Software and API Integrations - Upgaming","Enterprise iGaming Software and API Integrations - Upgaming Products Close Products Open Products Sportsbook Game Aggregation Enterprise Platform Mini...",0.0,"webdev"
"http://slotscalendar.com","ᐈ SlotsCalendar | Play Free Video Slots & Get No Deposit Bonuses","ᐈ SlotsCalendar | Play Free Video Slots & Get No Deposit Bonuses Info × Log In Sign Up Menu Log In Sign Up Free Slots Video Slots Fruit Slots Bonuses ...",0.0,"webdev"
"https://another-site.com/privacy-policy-2","Privacy Policy - Another SITE","Privacy Policy - Another SITE Skip to content Home Finance Lifestyle Travel About Contact Main Menu Home Finance Lifestyle Travel About Contact Take A...",0.0,"webdev"
"https://iana.org/domains/root/db","Root Zone Database","Root Zone Database Domains Protocols Numbers About Root Zone Database The Root Zone Database represents the delegation details of top-level domains, i...",0.0,"webdev"
"https://iana.org/help/root-zone-process","Root Zone Change Request Process","Root Zone Change Request Process Domains Protocols Numbers About Instructions and Guides Root Zone Change Request Process Methods for submitting a rou...",0.0,"webdev"
"https://iana.org/help/rzm-api","Root Zone Management API","Root Zone Management API Domains Protocols Numbers About Instructions and Guides Root Zone Management API Root zone change requests can be submitted a...",0.0,"Python; webdev; python; api"
