title,url,snippet,score
Example Domain,https://example.com,,0.0
Example Domains,https://iana.org/domains/example,,0.0
Internet Assigned Numbers Authority,https://iana.org/,,0.0
Domain Name Services,https://iana.org/domains,,0.0
Protocol Registries,https://iana.org/protocols,,0.0
Number Resources,https://iana.org/numbers,,0.0
About us,https://iana.org/about,,0.0
Instructions and Guides,https://iana.org/help,,0.0
IANA-managed Reserved Domains,https://iana.org/domains/reserved,,0.0
Root Zone Management,https://iana.org/domains/root,,0.0
Intergovernmental Treaty (.INT) Domains,https://iana.org/domains/int,,0.0
.ARPA Domain,https://iana.org/domains/arpa,,0.0
Repository of IDN Practices,https://iana.org/domains/idn-tables,,0.0
Number-related Registries,https://iana.org/numbers/registries,,0.0
RIR Allocation Data,https://iana.org/numbers/allocations,,0.0
Network Abuse Information,https://iana.org/help/abuse,,0.0
Time Zones,https://iana.org/time-zones,,0.0
News,https://iana.org/news,,0.0
Performance,https://iana.org/performance,,0.0
The Organization,https://iana.org/about/organization,,0.0
Archive,https://iana.org/archive,,0.0
Contact Us,https://iana.org/contact,,0.0
Public Technical Identifiers (PTI),https://pti.icann.org,,0.0
ITI Web ICANN,https://www.icann.org/privacy/policy,,0.0
ITI Web ICANN,https://www.icann.org/privacy/tos,,0.0
Internet Corporation for Assigned Names and Numbers (ICANN),https://www.icann.org/,,0.0
API.md,file:///Users/av4nda/Research/autonomous-project/docs/API.md,,0.0
API_OLD.md,file:///Users/av4nda/Research/autonomous-project/docs/API_OLD.md,,0.0
ARCHITECTURE.md,file:///Users/av4nda/Research/autonomous-project/docs/ARCHITECTURE.md,,0.0
CHANGELOG.md,file:///Users/av4nda/Research/autonomous-project/docs/CHANGELOG.md,,0.0
MODULES.md,file:///Users/av4nda/Research/autonomous-project/docs/MODULES.md,,0.0
README.md,file:///Users/av4nda/Research/autonomous-project/docs/README.md,,0.0
getting-started.md,file:///Users/av4nda/Research/autonomous-project/docs/getting-started.md,,0.0
index.html,file:///Users/av4nda/Research/autonomous-project/docs/index.html,,0.0
